,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
13203,PUBLIC SECTOR,Government,GEO_1,2.812198266,0
13204,SERVICE PROVIDER,Media/Entertainment,GEO_1,2.812039736,1
13205,ENTERPRISE,Retail,GEO_3,2.8118654844999997,1
13206,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8117264590000004,1
13207,PUBLIC SECTOR,Government,GEO_2,2.8114332025,0
13208,PUBLIC SECTOR,Transportation,GEO_2,2.8111250329999997,1
13209,COMMERCIAL,Transportation,GEO_2,2.810983313,0
13210,SMB,Financial Services,GEO_3,2.810962357,1
13211,PUBLIC SECTOR,Education- Public/Private,GEO_1,2.810521632,0
13212,COMMERCIAL,Professional Services,GEO_1,2.810206541,0
13213,PUBLIC SECTOR,Government,GEO_2,2.8098796884999997,0
13214,SERVICE PROVIDER,Energy/Utilities,GEO_3,2.809731122,0
